interview_date,quest_no,start,end,district,ward,village,years_farm,no_membrs,respondent_roof_type,respondent_wall_type,respondent_floor_type,buildings_in_compound,rooms,no_plots,no_enough_water,months_no_water,liv_owned,liv_count,poultry,items_owned,no_meals,months_lack_food,gps_Latitude,gps_Longitude,gps_Altitude,instanceID
16-Nov-16,52,2017-04-08T04:44:09.000Z,2017-04-08T05:02:58.000Z,Manica,Bandula,Chirodzo,15,11,mabatisloping,burntbricks,cement,1,3,1,yes,['Sept' ;  'Oct' ;  'Nov'],['oxen' ;  'cows' ;  'poultry'],3,yes,['motorcyle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'mobile_phone'],3,['Aug' ;  'Sept' ;  'Oct' ;  'Nov'],-19.11223637,33.48335287,694,uuid:6db55cb4-a853-4000-9555-757b7fae2bcf
16-Nov-16,21,2017-04-08T05:03:08.000Z,2017-04-08T05:33:51.000Z,Manica,Bandula,Chirodzo,16,8,mabatisloping,burntbricks,cement,2,3,3,yes,['Aug' ;  'Sept' ;  'Oct'],['oxen' ;  'goats'],2,yes,['bicycle' ;  'radio' ;  'mobile_phone'],2,['Nov'],-19.11216571,33.48343865,687,uuid:cc7f75c5-d13e-43f3-97e5-4f4c03cb4b12
16-Nov-16,54,2017-04-08T05:36:55.000Z,2017-04-08T05:52:15.000Z,Manica,Bandula,Chirodzo,10,7,grass,muddaub,earth,3,1,1,yes,['Aug' ;  'Sept' ;  'Oct' ;  'Nov' ;  'Dec'],['none'],1,yes,NULL,2,['Sept' ;  'Oct' ;  'Nov'],-19.11220247,33.48335527,681,uuid:273ab27f-9be3-4f3b-83c9-d3e1592de919
16-Nov-16,55,2017-04-08T05:52:32.000Z,2017-04-08T06:05:41.000Z,Manica,Bandula,Chirodzo,23,9,grass,muddaub,earth,2,2,1,NULL,NULL,['goats'],1,yes,['television' ;  'cow_plough' ;  'mobile_phone'],2,['Oct' ;  'Nov'],-19.11228974,33.48333393,702,uuid:883c0433-9891-4121-bc63-744f082c1fa0
16-Nov-16,56,2017-04-08T06:05:59.000Z,2017-04-08T06:26:12.000Z,Manica,Bandula,Chirodzo,23,12,mabatisloping,burntbricks,cement,4,2,2,yes,['Sept' ;  'Oct'],['oxen' ;  'goats'],2,yes,['motorcyle' ;  'bicycle' ;  'mobile_phone'],3,['none'],-19.11217264,33.48341837,689,uuid:973c4ac6-f887-48e7-aeaf-4476f2cfab76
16-Nov-16,57,2017-04-08T06:26:22.000Z,2017-04-08T06:39:40.000Z,Manica,Bandula,Chirodzo,20,4,grass,burntbricks,earth,4,1,2,no,NULL,['none'],1,no,['radio'],2,['none'],-19.11227947,33.48338576,695,uuid:a7184e55-0615-492d-9835-8f44f3b03a71
16-Nov-16,58,2017-04-08T08:25:49.000Z,2017-04-08T08:48:51.000Z,Manica,Bandula,Chirodzo,35,11,mabatisloping,burntbricks,earth,5,3,3,no,NULL,['oxen' ;  'cows' ;  'goats'],3,no,['motorcyle' ;  'bicycle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'mobile_phone'],2,['none'],-19.1121758,33.48332076,723,uuid:a7a3451f-cd0d-4027-82d9-8dcd1234fcca
16-Nov-16,59,2017-04-08T08:52:05.000Z,2017-04-08T09:02:34.000Z,Manica,Bandula,Chirodzo,60,2,grass,muddaub,earth,1,3,2,NULL,NULL,['oxen' ;  'cows' ;  'poultry'],3,no,NULL,2,['none'],-19.1123395,33.48333251,683,uuid:1936db62-5732-45dc-98ff-9b3ac7a22518
16-Nov-16,60,2017-04-08T09:03:01.000Z,2017-04-08T09:20:18.000Z,Bandula,Bandula,Chirodzo,12,8,grass,burntbricks,earth,3,2,3,yes,['Aug' ;  'Sept' ;  'Oct'],['oxen' ;  'cows' ;  'goats' ;  'poultry'],4,yes,['cow_plough'],2,['none'],,33.48341208,694,uuid:85465caf-23e4-4283-bb72-a0ef30e30176
16-Nov-16,61,2017-04-08T10:47:11.000Z,2017-04-08T11:14:09.000Z,Manica,Bandula,Chirodzo,14,10,grass,muddaub,earth,4,1,2,yes,['Aug' ;  'Sept' ;  'Oct'],['oxen' ;  'cows' ;  'goats'],3,yes,['cow_cart' ;  'motorcyle' ;  'bicycle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'table' ;  'mobile_phone'],3,['Jan' ;  'Feb' ;  'Dec'],-19.11218035,33.48341635,712,uuid:2401cf50-8859-44d9-bd14-1bf9128766f2
16-Nov-16,62,2017-04-08T13:27:58.000Z,2017-04-08T13:41:21.000Z,Manica,Bandula,Chirodzo,5,5,grass,muddaub,earth,3,1,2,NULL,NULL,['none'],1,no,['bicycle' ;  'radio' ;  'mobile_phone'],3,['Aug' ;  'Sept' ;  'Oct' ;  'Nov'],-19.11216869,33.48339699,719,uuid:c6597ecc-cc2a-4c35-a6dc-e62c71b345d6
16-Nov-16,63,2017-04-08T13:41:39.000Z,2017-04-08T13:52:07.000Z,Manica,Bandula,Chirodzo,1,4,grass,muddaub,earth,1,1,1,NULL,NULL,['none'],1,no,NULL,3,['Jan' ;  'Oct' ;  'Nov' ;  'Dec'],-19.11220024,33.4833903,702,uuid:86ed4328-7688-462f-aac7-d6518414526a
